city,team1,team2,toss_winner,toss_decision,winner,first_innings_score,second_innings_score
5,5,3,3,1,5.0,0.7025886646132301,0.7115962115954511
8,8,0,0,2,8.0,0.7866356362731398,0.617417505214383
6,6,7,6,2,7.0,0.7709617516270895,0.6368814469962913
5,0,5,5,2,5.0,0.7032109643466593,0.7109812512455174
8,8,1,8,2,1.0,0.7424910147090861,0.669856024139719
2,7,9,9,1,7.0,0.7023771277714427,0.7118050086811265
6,6,3,3,1,3.0,0.7875050010075858,0.6163082616581107
2,7,0,7,1,7.0,0.7437095088347183,0.6685029292896344
5,9,5,9,2,5.0,0.7972265579824855,0.6036802259867377
1,1,3,1,1,1.0,0.7924584575316014,0.6099258914709517
5,5,6,5,2,5.0,0.7028083782532835,0.7113792121344211
0,0,8,8,1,0.0,0.7027554777966536,0.7114314713496986
1,1,7,1,1,1.0,0.8421904643284618,0.5391801385383274
3,3,9,3,1,3.0,0.7571970756814634,0.6531864883625811
6,6,8,6,1,8.0,0.7032323103308193,0.7109601379168723
0,0,7,0,1,0.0,0.7422472811581098,0.6701260878472004
5,5,9,5,1,5.0,0.841331155069519,0.540520015826786
3,3,6,3,1,6.0,0.7035976309449103,0.7105986023970985
1,1,8,1,1,1.0,0.782928959414254,0.622111119102137
-1,9,7,7,1,7.0,0.713766680984117,0.7003835557156648
0,0,5,0,1,0.0,0.7621658404477233,0.6473818283321023
7,7,6,6,1,7.0,0.7025301812897969,0.7116539498779761
3,3,1,3,1,3.0,0.7368179512572095,0.6760911970327143
8,8,9,9,2,9.0,0.7032949675016306,0.710898156339486
6,6,5,5,1,6.0,0.7025596109834729,0.7116248962864855
-1,9,0,0,1,9.0,0.7020381095567656,0.7121393773201723
8,8,3,8,2,8.0,0.7027285362744408,0.7114580833089058
1,1,6,1,1,6.0,0.7008217572776737,0.713336431514775
7,7,5,7,2,5.0,0.7874100435409946,0.6164295769435215
-1,9,8,8,2,9.0,0.7403807222854057,0.6721877610222763
5,5,1,5,1,5.0,0.7875050010075858,0.6163082616581107
0,0,3,3,1,0.0,0.7020741827848284,0.7121038139674688
7,7,8,7,1,8.0,0.70172977504731,0.7124432067274217
0,0,1,0,1,1.0,0.7008771255327298,0.7132820304094154
6,6,9,9,2,9.0,0.7030777803619778,0.7111129549946862
8,8,5,8,2,5.0,0.8200337238685059,0.5723152031165615
3,3,7,7,1,3.0,0.7018103226793718,0.7123638613662797
6,6,0,0,2,0.0,0.7034525554587449,0.7107422192458821
1,1,9,9,1,9.0,0.7367350744830315,0.6761815067173029
3,3,5,5,1,3.0,0.7018496983061259,0.7123250669375606
5,8,5,5,1,5.0,0.7788110344886303,0.6272586169665184
5,0,9,0,1,0.0,0.8087360843031886,0.5881716976750462
5,8,9,9,1,8.0,0.6986393383133878,0.7154740211643128
5,0,5,0,1,0.0,0.7567223179737983,0.6537364403797311
0,0,3,0,1,0.0,0.7140273902619758,0.7001177657763529
9,9,7,7,2,7.0,0.7020015154756069,0.7121754504824996
1,1,5,1,1,5.0,0.6997798348164428,0.7143585813751188
3,3,9,3,1,3.0,0.7289824926505478,0.6845323406596607
7,7,1,1,1,7.0,0.7024701641224861,0.711713192597782
8,8,5,5,2,5.0,0.7021097462009691,0.7120687496931815
6,6,0,6,2,6.0,0.7033754245742967,0.710818550760268
9,9,8,8,2,9.0,0.7782736126779891,0.627925301137923
7,7,3,3,2,3.0,0.702701259061168,0.7114850247994325
0,0,8,0,1,0.0,0.7505516551321638,0.6608117833228834
9,9,6,6,2,6.0,0.7028600079314319,0.7113282007980757
3,3,7,3,2,3.0,0.6985367247883851,0.7155742058807848
1,1,9,9,1,9.0,0.7435128653979639,0.6687216304171036
6,6,7,7,2,6.0,0.8,0.6
5,5,0,0,2,5.0,0.7266466544661507,0.6870113824043607
3,3,8,8,2,8.0,0.7030077142592762,0.7111822225646166
1,1,6,6,2,1.0,0.7541854581520884,0.6566614764944907
9,9,5,9,2,5.0,0.7883696901106011,0.6152017813001801
1,1,8,8,2,8.0,0.7027285362744408,0.7114580833089058
1,1,3,1,2,3.0,0.751013406762716,0.6602869549390321
7,7,5,7,2,7.0,0.6997031252548288,0.7144337173654568
3,3,6,3,2,3.0,0.7012389761168877,0.7129262923855025
0,0,9,0,1,0.0,0.7508929588948038,0.6604239277026587
5,5,6,6,2,5.0,0.7619393177594593,0.6476484200955405
9,9,3,9,2,3.0,0.7520283654835951,0.6591307438650333
0,0,7,7,1,0.0,0.7023452803945737,0.7118364328323381
9,9,1,1,2,1.0,0.7031006064676614,0.711090386086612
8,8,6,6,2,8.0,0.864083013296331,0.503349328133785
3,3,0,0,1,3.0,0.7852691656277782,0.6191545344372866
5,5,1,1,2,5.0,0.7749208199000273,0.6320583223765586
7,7,0,7,2,0.0,0.8287998981205545,0.5595451088834201
6,6,5,5,2,6.0,0.8833945317568194,0.46863002599294684
7,7,8,8,2,8.0,0.7023130012327302,0.7118682801610667
0,0,1,0,1,0.0,0.7460124397403018,0.6659320083557497
8,8,3,8,2,8.0,0.7002086668924692,0.7139382485962431
5,5,9,9,1,9.0,0.7362546199851177,0.6767046139569096
6,6,1,1,2,6.0,0.7715393663129653,0.6361815827492872
6,6,8,6,1,6.0,0.8874661187885873,0.46087296297604746
5,5,7,5,1,7.0,0.7018496983061259,0.7123250669375606
6,6,9,6,2,9.0,0.8639363184095201,0.50360107002766
8,8,0,8,2,8.0,0.7016467397821332,0.7125249838097633
3,3,5,5,2,5.0,0.7031006064676614,0.711090386086612
5,8,0,0,2,0.0,0.7031006064676614,0.711090386086612
5,5,3,5,2,5.0,0.7023452803945737,0.7118364328323381
0,8,5,5,2,8.0,0.7948427632315116,0.6068154428971755
0,0,8,0,1,0.0,0.8140003757722463,0.5808643458180592
0,0,5,5,2,5.0,0.7008771255327298,0.7132820304094154
3,3,1,1,2,1.0,0.6999285823596569,0.7142128391425071
7,7,6,6,2,7.0,0.7682212795973759,0.6401843996644799
8,8,1,1,2,8.0,0.7555312842968392,0.6551125692953607
-1,9,0,9,2,0.0,0.8524117479129432,0.522871123719795
7,7,3,3,2,7.0,0.7579580539105697,0.6523032948806115
-1,9,5,9,1,5.0,0.7020381095567656,0.7121393773201723
8,8,3,8,2,3.0,0.803471442059678,0.5953432974297614
1,1,0,1,2,1.0,0.700765396045594,0.713391799577947
5,5,7,7,2,5.0,0.7587153665245264,0.6514222843897449
0,0,8,8,1,0.0,0.7036825952557098,0.7105144651125613
3,3,7,7,1,3.0,0.7017703527782003,0.7124032369112033
